VLAN;Omschrijving;leafs;interface_policy_group
1;Default;101-102;1-ports-45_PolGrp
4;beheer;101-102;1-ports-45_PolGrp
6;OT-Vlan;101-102;1-ports-45_PolGrp
7;wan;101-102;1-ports-45_PolGrp
10;HB;101-102;1-ports-45_PolGrp
11;server1;101-102;1-ports-45_PolGrp
12;management;101-102;1-ports-45_PolGrp
13;Vmotion-old;101-102;1-ports-45_PolGrp
14;ISCSI-SNAP;101-102;1-ports-45_PolGrp
15;NFS;101-102;1-ports-45_PolGrp
16;TD;101-102;1-ports-45_PolGrp
18;Vmware;101-102;1-ports-45_PolGrp
19;DMZ;101-102;1-ports-45_PolGrp
60;OT-Mgt;101-102;1-ports-45_PolGrp
61;GD-Alg;101-102;1-ports-45_PolGrp
62;A-managment;101-102;1-ports-45_PolGrp
66;OBT;101-102;1-ports-45_PolGrp
90;Internet;101-102;1-ports-45_PolGrp
92;Internet-Tilburg;101-102;1-ports-45_PolGrp
95;SYX;101-102;1-ports-45_PolGrp
160;OT-Client;101-102;1-ports-45_PolGrp
213;Goirle10;101-102;1-ports-45_PolGrp
401;DigiD;101-102;1-ports-45_PolGrp
451;DMZ servers;101-102;1-ports-45_PolGrp
600;Acceptatie;101-102;1-ports-45_PolGrp
601;Acceptatie2;101-102;1-ports-45_PolGrp
602;Acceptatie3;101-102;1-ports-45_PolGrp
603;Acceptatie4;101-102;1-ports-45_PolGrp
604;Acceptatie5;101-102;1-ports-45_PolGrp
1245;OT-MGT;101-102;1-ports-45_PolGrp
1246;OT-SDL;101-102;1-ports-45_PolGrp
1247;A-MGT;101-102;1-ports-45_PolGrp
1248;A-SDL;101-102;1-ports-45_PolGrp
1249;UBS-P-MGT;101-102;1-ports-45_PolGrp
1250;UBS-P;101-102;1-ports-45_PolGrp
1401;Vmotion;101-102;1-ports-45_PolGrp
2000;SK1W-102000;101-102;1-ports-45_PolGrp
2004;SK2W-102004;101-102;1-ports-45_PolGrp
2008;SK3W-102008;101-102;1-ports-45_PolGrp
2012;SK4W-1020012;101-102;1-ports-45_PolGrp
2016;SK5W-1020016;101-102;1-ports-45_PolGrp
2020;SK6W-1020020;101-102;1-ports-45_PolGrp
2024;NEVW-1020024;101-102;1-ports-45_PolGrp
2054;EVHALGW-109472XX;101-102;1-ports-45_PolGrp
2056;DNGGW-109468XX;101-102;1-ports-45_PolGrp
2057;GLGGW-109464XX;101-102;1-ports-45_PolGrp
2062;TILGW-1094XX;101-102;1-ports-45_PolGrp
2101;UPS-SK1;101-102;1-ports-45_PolGrp
2110;GBS1021010;101-102;1-ports-45_PolGrp
2116;PIN-Nevloc;101-102;1-ports-45_PolGrp
2134;Drieburcht_bad;101-102;1-ports-45_PolGrp
2248;wireless_int.;101-102;1-ports-45_PolGrp
2395;VOIP-DC-SIPLAN;101-102;1-ports-45_PolGrp
2396;VOIP-DC-HSPLAN;101-102;1-ports-45_PolGrp
2397;VOIP-DC-ServLAN;101-102;1-ports-45_PolGrp
2398;VOIP-DC-TLAN;101-102;1-ports-45_PolGrp
2399;VOIP-DC-ELAN;101-102;1-ports-45_PolGrp
3120;ot_dmzsrv;101-102;1-ports-45_PolGrp
3199;ot_vl_11_vr0;101-102;1-ports-45_PolGrp
3200;aa_vl_sub1_vr0;101-102;1-ports-45_PolGrp
3201;aa_vl_sub2_vr0;101-102;1-ports-45_PolGrp
3220;acc_dmzsrv;101-102;1-ports-45_PolGrp
